Artist Name,Album Title,Label,Pressed At,Year of Release,Year of Pressing,Country,Genre,Styles,Media Condition
Harry Styles,Fine Line,Columbia,,2019,,US,Pop,Pop Rock,NM-
Weezer,Weezer,"Crush Music, Atlantic",Precision Record Pressing,2019,2019,"US, Canada","Electronic, Rock, Pop","Alternative Rock, Ballad, Dream Pop, Pop Rock",NM-
Stevie Nicks,Bella Donna,Modern,Optimal Media GmbH,1981,2020,Europe,Rock,Pop Rock,NM-
ABBA,Gold (Greatest Hits),"Polar, Polydor",GZ Media,1992,2017,"US, Canada",Pop,Europop,NM-
AC/DC,Back in Black,"Epic, Albert Productions",,1980,2003,US,Rock,"Hard Rock, Blues Rock",NM-
Aerosmith,Toys in the Attic,Columbia,"Columbia Records Pressing Plant, Terre Haute",1975,1975,US,Rock,"Hard Rock, Blues Rock",
a-ha,Hunting High and Low,Warner Bros.,,1985,2018,US,Electronic ,Synthpop,NM-
The Beatles,Reel Music,Capitol,"Capitol Records Pressing Plant, Winchester",1982,1982,US,"Rock, Stage & Screen","Soundtrack, Beat, Theme, Pop Rock",
Boston,Boston,"Legacy, Epic",,1976,2016,US,Rock,"Hard Rock, Pop Rock, Arena Rock",NM-
Calpurnia,Scout,"Royal Mountain, Transgressive",,2018,2018,"US, Canada, UK",Rock,Indie Rock,NM-
Eric Clapton,Unplugged,"Reprise, Duck",Schallplattenfabrik Pallas GmbH,1992,2011,US,Rock,"Blues Rock, Acoustic",
Fleetwood Mac,Rumours,Warner Bros.,,1977,2009,US,Rock,"Classic Rock, Pop Rock, Soft Rock",NM-
Fleetwood Mac,The Dance,Reprise ,,1997,2018,Europe,Rock,"Pop Rock, Classic Rock",NM-
ABBA,The Album,Polar,The Gramophone Company of India Ltd.,1977,1977,India,"Electronic, Pop",Disco,
ABBA,Waterloo,Atlantic,Monarch Record Mfg. Co.,1974,1975,US,"Rock, Pop","Europop, Pop Rock, Disco",
AC/DC,For Those About to Rock (We Salute You),Atlantic,Specialty Records Corporation,1981,1981,US,Rock,"Hard Rock, Classic Rock",
AC/DC,High Voltage,ATCO,Specialty Records Corporation,1976,,US,Rock,"Hard Rock, Arena Rock",
